Array,Code,Name,Latitude,Longitude
DTU,UMQ,Uummannaq,70.68,307.87
DTU,UPN,Upernavik,72.78,303.85
IMAGE,NAL,Ny Alesund,78.92,11.95
IMAGE,LYR,Longyearbyen,78.2,15.82
IMAGE,HOR,Hornsund,77,15.6
IMAGE,HOP,Hopen Island,76.51,25.01
IMAGE,BJN,Bear Island,74.5,19.2
IMAGE,NOR,Nordkapp,71.09,25.79
IMAGE,SOR,Soroya,70.54,22.22
IMAGE,ALT,Alta,69.86,22.96
IMAGE,KEV,Kevo,69.76,27.01
IMAGE,TRO,Tromso,69.66,18.94
IMAGE,MAS,Masi,69.46,23.7
IMAGE,AND,Andenes,69.3,16.03
IMAGE,KIL,Kilpisjärvi,69.06,20.77
IMAGE,KAU,Kautokeino,69.02,23.05
IMAGE,IVA,Ivalo,68.56,27.29
IMAGE,ABK,Abisko,68.35,18.82
IMAGE,LEK,Leknes,68.13,13.54
IMAGE,MUO,Muonio,68.02,23.53
IMAGE,LOZ,Lovozero,67.97,35.08
IMAGE,KIR,Kiruna,67.84,20.42
IMAGE,RST,Rost,67.52,12.09
IMAGE,SOD,Sodankylä,67.37,26.63
IMAGE,PEL,Pello,66.9,24.08
IMAGE,JCK,Jackvik,66.4,16.98
IMAGE,DON,Donna,66.11,12.5
IMAGE,RAN,Ranua,65.9,26.41
IMAGE,RVK,Rorvik,64.94,10.98
IMAGE,LYC,Lycksele,64.61,18.75
IMAGE,OUJ,Oulujärvi,64.52,27.23
IMAGE,MEK,Mekrijärvi,62.77,30.97
IMAGE,HAN,Hankasalmi,62.25,26.6
IMAGE,DOB,Dombas,62.07,9.11
IMAGE,SOL,Solund,61.08,4.84
IMAGE,NUR,Nurmijärvi,60.5,24.65
IMAGE,HAR,Harestua,60.21,10.71
IMAGE,UPS,Uppsala,59.9,17.35
IMAGE,KAR,Karmoy,59.21,5.24
IMAGE,TAR,Tartu,58.26,26.46
IMAGE,BRZ,Birzai,56.17,24.86
IMAGE,HLP,Hel,54.61,18.82
IMAGE,SUW,Suwałki,54.01,23.18
IMAGE,WNG,Wingst,53.74,9.07
IMAGE,NGK,Niemegk,52.07,12.68
IMAGE,PPN,Polesie,51.45,23.13
GIMA,ARCT,Arctic Village,68.133,214.433
GIMA,BETT,Bettles,66.901,208.446
GIMA,CIGO,College Int'l Geophysical Observatory,64.873,212.14
GIMA,EAGL,Eagle,64.78,218.838
GIMA,FYKN,Fort Yukon,66.56,214.786
GIMA,GAKO,Gakona,62.393,214.87
GIMA,HLMS,High Latitude Monitoring Station,61.235,210.128
GIMA,HOMR,Homer,59.658,208.349
GIMA,KAKO,Kaktovik,70.135,216.35
GIMA,KENA,Kenai College,60.554,208.742
GIMA,POKR,Poker Flat,65.119,212.567
GIMA,TRAP,Trapper Creek,62.24,209.58
MACCS,NAN,Nain,56.4,298.3
MACCS,PGG,Pangnirtung,66.1,294.2
MACCS,CRV,Clyde River,70.5,291.4
MACCS,CDR,Cape Dorset,64.2,283.4
MACCS,IGL,Igloolik,69.3,278.2
MACCS,CHB,Coral Harbour,64.188,276.65
MACCS,RBY,Repulse Bay,66.524,273.769
MACCS,PEB,Pelly Bay,68.538,270.211
MACCS,GJO,Gjoa Haven,68.633,264.15
McMAC,AMER,Americus,38.5,263.7
McMAC,BENN,Bennington,41.36,262.84
McMAC,GLYN,Glyndon,46.87,263.55
McMAC,LRES,Linares,24.8,260.4
McMAC,LYFD,Lyford,26.4,262.2
McMAC,PCEL,Purcell,35,262.6
McMAC,RICH,Richardson,32.98,262.25
McMAC,SATX,San Antonio,29.44,261.39
McMAC,WRTH,Worthington,43.6,264.4
THEMIS,BMLS,Bay Mills,46.48,275.31
THEMIS,CCNV,Carson City,39.19,240.22
THEMIS,CHBG,Chibougamau,49.814,285.581
THEMIS,DRBY,Derby,44.95,287.87
THEMIS,GBAY,Goose Bay,53.316,299.54
THEMIS,HOTS,Hot Springs,47.59,245.34
THEMIS,KAPU,Kapuskasing,49.392,277.68
THEMIS,KIAN,Kiana,66.971,199.562
THEMIS,KUUJ,Kuujjuaq,58.1,291.6
THEMIS,LOYS,Loysburg,40.18,281.62
THEMIS,MCGR,Mcgrath,62.953,204.404
THEMIS,PGEO,Prince George,53.815,237.172
THEMIS,PINE,Pine Ridge,43.08,257.41
THEMIS,PTRS,Petersburg,56.81,227.05
THEMIS,RMUS,Remus,43.66,274.86
THEMIS,SNAP,Snap Lake,63.58,249.13
THEMIS,SWNO,Shawano,44.78,271.4
THEMIS,TPAS,The Pas,53.994,259.059
THEMIS,UKIA,Ukiah,45.14,241.07
THEMIS,WHIT,Whitehorse,61.01,224.777
USGS,BOU,Boulder,40.14,254.763
USGS,BRW,Point Barrow,71.32,203.38
USGS,BSL,NASA Stennis Space Center,30.35,270.364
USGS,CMO,Fairbanks,64.87,212.14
USGS,DED,Dead Horse,70.36,211.207
USGS,FRD,Corbin,38.2,282.627
USGS,FRN,Fresno,37.09,240.287
USGS,GUA,Dededo,13.59,144.869
USGS,HON,Honolulu,21.32,202
USGS,NEW,Colville National Forest,48.27,242.877
USGS,SHU,Sand Point,55.38,199.536
USGS,SIT,Sitka,57.06,224.673
USGS,SJG,Cayey,18.11,293.85
USGS,TUC,Tucson,32.17,249.266
PENGUIN,PG0,Antarctica,-83.67,88.681
PENGUIN,PG1,Antarctica,-85.501,77.199
PENGUIN,PG2,Antarctica,-84.419,57.956
PENGUIN,PG3,Antarctica,-84.81,37.62
PENGUIN,PG4,Antarctica,-83.34,12.25
PENGUIN,PG5,Antarctica,-81.96,5.71
EMBRACE,SLZ,São Luís – MA,-2.59416667,357.40583333
EMBRACE,ALF,Alta Floresta – MT,-9.87027778,350.12972222
EMBRACE,MAN,Manaus – AM,-2.88833333,357.11166667
EMBRACE,ARA,Araguatins – TO,-5.60027778,354.39972222
EMBRACE,EUS,Eusébio – CE,-3.88,356.12
EMBRACE,CBA,Cuiabá – MT,-15.55472222,344.44527778
EMBRACE,BOA,Boa Vista – RR,2.80055556,362.80055556
EMBRACE,JAT,Jataí – GO,-17.93166667,342.06833333
EMBRACE,TCM,Tucumán – TU,-26.82222222,333.17777778
EMBRACE,CXP,Cachoeira Paulista – SP,-22.70194444,337.29805556
EMBRACE,SJC,São José dos Campos – SP,-23.20861111,336.79138889
EMBRACE,VSS,Vassouras – RJ,-22.40194444,337.59805556
EMBRACE,SMS,São Martinho da Serra – RS,-29.44361111,330.55638889
EMBRACE,RGA,Rio Grande – TF,-53.78583333,306.21416667
